cds14,ag_year,ag_cohort,ag_met_uccsu_count,ag_met_uccsu_rate
19644361938372,2016-17,393,243,62.8
19644441932201,2016-17,500,311,64.5
19644441932656,2016-17,23,0,0.0
19644511931625,2016-17,225,1,0.5
19644511932441,2016-17,1044,512,51.0
19644511939164,2016-17,900,476,54.0
19644690128736,2016-17,166,28,82.4
19644691932482,2016-17,230,80,36.0
19644691936079,2016-17,41,0,0.0
19645191930320,2016-17,493,252,56.0
19645191932664,2016-17,421,145,39.5
19645191932680,2016-17,314,94,32.4
19645191937481,2016-17,395,203,57.5
19645191938919,2016-17,203,0,0.0
19645191995661,2016-17,322,142,47.5
19645191996123,2016-17,23,0,0.0
19645270000000,2016-17,12,1,16.7
19645271932698,2016-17,140,0,0.0
19645271932706,2016-17,545,291,56.1
19645351930353,2016-17,30,6,20.7
19645351932763,2016-17,283,197,71.1
19645681932144,2016-17,666,446,69.8
19645681933472,2016-17,134,1,1.3
19645681933530,2016-17,586,196,37.8
19645681934082,2016-17,400,120,35.0
19645681995497,2016-17,30,12,48.0
19645681996131,2016-17,247,188,79.0
19645761933597,2016-17,609,378,63.1
19645761939677,2016-17,33,0,0.0
19645841996305,2016-17,263,5,2.3
19645920100354,2016-17,127,97,76.4
19646341934231,2016-17,277,55,24.6
19646341936046,2016-17,221,30,16.4
19646341996529,2016-17,54,28,51.9
19646341996586,2016-17,150,101,76.5
19646591934611,2016-17,339,245,73.8
19646831930080,2016-17,532,307,61.5
19646831931260,2016-17,14,0,0.0
19646831931781,2016-17,458,269,63.1
19646911996438,2016-17,114,103,100.0
19647090100602,2016-17,134,97,75.8
19647091996313,2016-17,144,130,96.3
19647250000001,2016-17,28,0,0.0
19647250125153,2016-17,49,0,0.0
19647250127381,2016-17,175,105,62.5
19647251930411,2016-17,55,31,62.0
19647251934470,2016-17,775,287,41.9
19647251934678,2016-17,824,378,49.3
19647251935758,2016-17,855,448,57.1
19647251936947,2016-17,1060,580,60.6
19647251937176,2016-17,113,1,1.5
19647251939875,2016-17,897,465,57.3
19647251995539,2016-17,174,169,97.1
19647251995570,2016-17,467,1,0.5
19647251995935,2016-17,614,228,42.1
19647251996503,2016-17,104,55,55.6
19647330000001,2016-17,329,0,0.0
19647330100677,2016-17,87,80,100.0
19647330100750,2016-17,91,78,100.0
19647330100776,2016-17,24,22,100.0
19647330100800,2016-17,116,81,72.3
19647330101196,2016-17,174,153,100.0
19647330101329,2016-17,44,6,24.0
19647330101659,2016-17,44,40,100.0
19647330101675,2016-17,140,88,67.2
19647330101683,2016-17,30,29,100.0
19647330102137,2016-17,26,0,0.0
19647330102434,2016-17,131,87,77.0
19647330102541,2016-17,92,77,100.0
19647330102764,2016-17,78,4,40.0
19647330102913,2016-17,98,69,71.1
19647330102921,2016-17,114,112,98.2
19647330106351,2016-17,41,36,97.3
19647330106435,2016-17,79,60,100.0
19647330106831,2016-17,117,101,100.0
19647330106849,2016-17,140,120,90.2
19647330106864,2016-17,114,112,100.0
19647330106997,2016-17,191,139,74.3
19647330107003,2016-17,244,130,56.3
19647330107011,2016-17,103,76,75.2
19647330107755,2016-17,240,112,50.5
19647330108878,2016-17,218,124,63.6
19647330108894,2016-17,136,131,98.5
19647330108928,2016-17,47,45,100.0
19647330108936,2016-17,139,135,97.1
19647330109447,2016-17,370,180,60.4
19647330109454,2016-17,463,246,62.3
19647330109462,2016-17,311,146,52.5
19647330109512,2016-17,99,15,36.6
19647330110304,2016-17,52,41,100.0
19647330110668,2016-17,76,2,50.0
