campus,ceeb,cds14,school_name,city,county,applicants_2325,admits_2325,admit_rate_2325,ela_pct_met_avg,math_pct_met_avg,avg_pct_met,upp_pct_2425,lcff_plus,ag_cohort_2425,ag_met_2425,admits_per_eligible,match_method,match_score
Berkeley,053092,43694014330239,LEIGH HIGH SCHOOL,San Jose,Santa Clara,437,37,8.47,75.8,66.59,71.19,19.59,N,467,360,0.1028,gardiner_seed,1.00
Berkeley,052987,36676523631058,LOS OSOS HIGH SCHOOL,Rancho Cucamonga,San Bernardino,435,63,14.48,79.86,50.3,65.08,45.23,N,703,527,0.1195,gardiner_seed,1.00
Berkeley,050035,01611270130450,ALBANY HIGH SCHOOL,Albany,Alameda,433,57,13.16,83.7,69.98,76.84,32.89,N,288,222,0.2568,gardiner_seed,1.00
Berkeley,053460,43694684332474,FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,433,39,9.01,63.8,43.78,53.79,34.81,N,541,322,0.1211,gardiner_seed,1.00
Berkeley,050883,37737913737632,SAN MARCOS HIGH SCHOOL,San Marcos,San Diego,432,56,12.96,54.81,32.23,43.52,33.68,N,789,552,0.1014,gardiner_seed,1.00
Berkeley,051976,43694274335907,PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara,427,43,10.07,76.54,54.9,65.72,41.5,N,505,321,0.134,gardiner_seed,1.00
Berkeley,053503,56737595630116,WESTLAKE HIGH SCHOOL,Westlake Village,Ventura,424,67,15.8,70.46,47.48,58.97,19.58,N,524,392,0.1709,gardiner_seed,1.00
Berkeley,051505,19647251939875,WOODROW WILSON HIGH SCHOOL,Long Beach,Los Angeles,422,90,21.33,52.5,20.35,36.43,58.97,N,805,411,0.219,gardiner_seed,1.00
Berkeley,053252,42767864231726,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,420,74,17.62,69.7,46.14,57.92,44.25,N,529,403,0.1836,gardiner_seed,1.00
Berkeley,052282,07616300734244,MIRAMONTE HIGH SCHOOL,Orinda,Contra Costa,418,63,15.07,87.4,73.77,80.59,5.66,N,305,268,0.2351,gardiner_seed,1.00
Berkeley,052058,07616300731125,CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,417,68,16.31,86.38,69.95,78.16,5.97,N,321,258,0.2636,gardiner_seed,1.00
Berkeley,050714,30664313030038,CYPRESS HIGH SCHOOL,Cypress,Orange,415,28,6.75,73.09,49.35,61.22,61.49,N,673,489,0.0573,gardiner_seed,1.00
Berkeley,053864,19651360102475,WEST RANCH HIGH SCHOOL,Valencia,Los Angeles,414,83,20.05,85.3,58.95,72.13,14.58,N,446,328,0.253,gardiner_seed,1.00
Berkeley,053100,43694274337903,SILVER CREEK HIGH SCHOOL,San Jose,Santa Clara,412,51,12.38,66.49,43.83,55.16,56.62,N,538,334,0.1527,gardiner_seed,1.00
Berkeley,051508,30739243033917,LOS ALAMITOS HIGH SCHOOL,Los Alamitos,Orange,411,64,15.57,77.14,47.54,62.34,17.05,N,778,619,0.1034,gardiner_seed,1.00
Berkeley,050715,19644441932201,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,408,67,16.42,73.65,41.56,57.6,31.21,N,508,344,0.1948,gardiner_seed,1.00
Berkeley,050824,34673143430873,FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,407,42,10.32,57.65,46.15,51.9,41.21,N,665,482,0.0871,gardiner_seed,1.00
Berkeley,053410,19650291938455,SOUTH PASADENA HIGH SCHOOL,South Pasadena,Los Angeles,405,43,10.62,85.27,65.87,75.57,18.03,N,383,290,0.1483,gardiner_seed,1.00
Berkeley,053175,41690474136370,SAN MATEO HIGH SCHOOL,San Mateo,San Mateo,404,64,15.84,62.84,41.74,52.29,44.96,N,392,215,0.2977,gardiner_seed,1.00
Berkeley,052600,19753411937143,REDONDO UNION HIGH SCHOOL,Redondo Beach,Los Angeles,398,64,16.08,78.19,54.5,66.34,19.62,N,717,566,0.1131,gardiner_seed,1.00
Berkeley,050940,34673303433216,FOLSOM HIGH SCHOOL,Folsom,Sacramento,397,31,7.81,78.4,52.24,65.32,22.92,N,699,474,0.0654,gardiner_seed,1.00
Berkeley,051324,30664643030574,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,391,38,9.72,78.68,54.42,66.55,34.14,N,651,409,0.0929,gardiner_seed,1.00
Berkeley,053615,19647331931047,BIRMINGHAM COMMUNITY CHARTER HS,Lake Balboa,Los Angeles,391,76,19.44,70.01,22.45,46.23,90.29,Y,715,656,0.1159,gardiner_seed,1.00
Berkeley,051972,41690474134557,MILLS HIGH SCHOOL,Millbrae,San Mateo,389,42,10.8,76.66,58.79,67.72,23.5,N,278,180,0.2333,gardiner_seed,1.00
Berkeley,053680,07616300733725,LAS LOMAS HIGH SCHOOL,Walnut Creek,Contra Costa,386,56,14.51,73.88,54.63,64.25,19.02,N,428,332,0.1687,gardiner_seed,1.00
Berkeley,053082,43694014330866,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,383,48,12.53,78.24,55.42,66.83,32.97,N,489,341,0.1408,gardiner_seed,1.00
