ceeb,cds14,dv_name,cde_name,match_method,match_score
050550,15737421531367,SHERMAN E BURROUGHS HS,Burroughs High,fuzzy_name_county,1.00
050551,19647330135855,MAYWOOD CTR ENRICHED STUDIES,Maywood Center for Enriched Studies,gardiner_seed,1.00
050555,36676783632502,CHINO HIGH SCHOOL,Chino High,fuzzy_name_county,1.00
050561,37680490136416,PACIFIC COAST ACADEMY,Pacific Coast Academy,fuzzy_name_county,1.00
050563,36676783630522,RUBEN S AYALA HIGH SCHOOL,Ruben S. Ayala High,gardiner_seed,1.00
050564,36676783631017,CHINO HILLS HIGH SCHOOL,Chino Hills High,gardiner_seed,1.00
050566,36676783630035,DON ANTONIO LUGO HIGH SCHOOL,Don Antonio Lugo High,fuzzy_name_county,1.00
050570,20652012032357,CHOWCHILLA UNION HIGH SCHOOL,Chowchilla Union High,fuzzy_name_county,1.00
050572,37684113730405,BONITA VISTA HIGH SCHOOL,Bonita Vista Senior High,gardiner_seed,1.00
050573,37684113730801,CASTLE PARK HIGH SCHOOL,Castle Park Senior High,gardiner_seed,1.00
050579,37684113730843,EASTLAKE HIGH SCHOOL,Eastlake High,gardiner_seed,1.00
050580,37684113731064,CHULA VISTA HIGH SCHOOL,Chula Vista Senior High,gardiner_seed,1.00
050581,37684113732849,HILLTOP HIGH SCHOOL,Hilltop Senior High,gardiner_seed,1.00
050582,34674473438504,SAN JUAN HIGH SCHOOL,San Juan High,fuzzy_name_county,1.00
050583,19734451939925,WILLIAM WORKMAN HIGH SCHOOL,William Workman High,fuzzy_name_county,1.00
050587,34674473430048,MESA VERDE HIGH SCHOOL,Mesa Verde High,fuzzy_name_county,1.00
050590,19643941931823,CLAREMONT HIGH SCHOOL,Claremont High,gardiner_seed,1.00
050591,34674473430717,VISIONS IN EDUCATION,Visions In Education,fuzzy_name_county,1.00
050596,37684113731155,OPTIONS SECONDARY SCHOOL,Options Secondary,fuzzy_name_county,1.00
050602,37684113731627,OTAY RANCH HIGH SCHOOL,Otay Ranch Senior High,gardiner_seed,1.00
050605,42693104231452,DELTA HIGH SCHOOL,Delta High,fuzzy2_token,0.80
050606,10621170118018,CLOVIS ONLINE SCHOOL,Clovis Online Charter,fuzzy_name_county,0.94
050610,49706564930855,CLOVERDALE HIGH SCHOOL,Cloverdale High,fuzzy_name_county,1.00
050615,10621171031053,CLOVIS HIGH SCHOOL,Clovis High,fuzzy_name_county,1.00
050618,10621171030501,BUCHANAN HIGH SCHOOL,Buchanan High,gardiner_seed,1.00
050620,33736763330990,COACHELLA VALLEY HIGH SCHOOL,Coachella Valley High,gardiner_seed,1.00
050622,10621171030683,CLOVIS EAST HIGH SCHOOL,Clovis East High,fuzzy_name_county,1.00
050628,10621170113555,CLOVIS NORTH HIGH SCHOOL,Clovis North High,gardiner_seed,1.00
050630,10621251031376,COALINGA HIGH SCHOOL,Coalinga High,fuzzy_name_county,1.00
050637,31668943131851,COLFAX HIGH SCHOOL,Colfax High,fuzzy_name_county,1.00
050640,36676863632742,COLTON HIGH SCHOOL,Colton High,gardiner_seed,1.00
050645,06615980631259,COLUSA HIGH SCHOOL,Colusa High,fuzzy_name_county,1.00
050650,19734371931567,CENTENNIAL HIGH SCHOOL,Centennial High,fuzzy_name_county,1.00
050651,19734371931963,COMPTON HIGH SCHOOL,Compton High,fuzzy_name_county,1.00
050652,19734371932326,DOMINGUEZ HIGH SCHOOL,Dominguez High,gardiner_seed,1.00
050657,07617540731836,CONCORD HIGH SCHOOL,Concord High,fuzzy_name_county,1.00
050658,07100740731380,CLAYTON VALLEY CHARTER HIGH SCHOOL,Clayton Valley Charter High,gardiner_seed,1.00
050659,07617540731646,COLLEGE PARK HIGH SCHOOL,College Park High,fuzzy_name_county,1.00
050660,07617540734566,MOUNT DIABLO HIGH SCHOOL,Mt. Diablo High,fuzzy2_token,0.80
050663,07617540737809,YGNACIO VALLEY HIGH SCHOOL,Ygnacio Valley High,fuzzy_name_county,1.00
050665,16638911632207,CORCORAN HIGH SCHOOL,Corcoran High,fuzzy_name_county,1.00
050666,07617540730044,NORTHGATE HIGH SCHOOL,Northgate High,gardiner_seed,1.00
050670,52715065231709,CORNING UNION HIGH SCHOOL,Corning High,fuzzy_name_county,1.00
050675,33670333331600,CORONA HIGH SCHOOL,Corona High,gardiner_seed,1.00
050676,33670333330446,CENTENNIAL HIGH SCHOOL,Centennial High,gardiner_seed,1.00
050680,37680313731478,CORONADO HIGH SCHOOL,Coronado High,gardiner_seed,1.00
050683,30665973031853,COSTA MESA HIGH SCHOOL,Costa Mesa High,fuzzy_name_county,1.00
050684,30665973032000,ESTANCIA HIGH SCHOOL,Estancia High,gardiner_seed,1.00
050685,37683380124347,CITY HEIGHTS PREP CHARTER SCHL,City Heights Preparatory Charter,fuzzy2_token,0.80
050688,45698564530028,WEST VALLEY HIGH SCHOOL,West Valley High,fuzzy_name_county,1.00
050692,33670333330701,SANTIAGO HIGH SCHOOL,Santiago High,gardiner_seed,1.00
050693,19643781931666,CHARTER OAK HIGH SCHOOL,Charter Oak High,fuzzy_name_county,1.00
050697,19647336016885,ELIZABETH LEARNING CENTER,Elizabeth Learning Center,fuzzy_name_county,1.00
050700,19644361932086,COVINA HIGH SCHOOL,Covina High,fuzzy_name_county,1.00
050703,19644361936418,NORTHVIEW HIGH SCHOOL,Northview High,fuzzy_name_county,1.00
050704,19644361938372,SOUTH HILLS HIGH SCHOOL,South Hills High,fuzzy_name_county,1.00
050705,08618200833004,DEL NORTE HIGH SCHOOL,Del Norte High,fuzzy_name_county,1.00
050710,07616970737023,JOHN SWETT HIGH SCHOOL,John Swett High,fuzzy_name_county,1.00
050711,36738903631199,SILVER VALLEY HIGH SCHOOL,Silver Valley Academy,fuzzy_name_county,1.00
050714,30664313030038,CYPRESS HIGH SCHOOL,Cypress High,gardiner_seed,1.00
050715,19644441932201,CULVER CITY HIGH SCHOOL,Culver City High,gardiner_seed,1.00
050718,43694684331799,CUPERTINO HIGH SCHOOL,Cupertino High,gardiner_seed,1.00
050720,41689244133393,JEFFERSON HIGH SCHOOL,Jefferson High,fuzzy_name_county,1.00
050721,41689244137535,TERRA NOVA HIGH SCHOOL,Terra Nova High,fuzzy_name_county,1.00
050722,19642121933159,RICHARD GAHR HIGH SCHOOL,Gahr (Richard) High,gardiner_seed,1.00
050723,41689244137790,WESTMOOR HIGH SCHOOL,Westmoor High,fuzzy_name_county,1.00
050725,07618040736504,SAN RAMON VALLEY HIGH SCHOOL,San Ramon Valley High,gardiner_seed,1.00
050727,07618040734368,MONTE VISTA HIGH SCHOOL,Monte Vista High,gardiner_seed,1.00
050729,30664643038569,DANA HILLS HIGH SCHOOL,Dana Hills High,gardiner_seed,1.00
050730,57726785732201,DAVIS SENIOR HIGH SCHOOL,Davis Senior High,gardiner_seed,1.00
050735,15634121531672,DELANO HIGH SCHOOL,Delano High,fuzzy_name_county,1.00
050740,34765053433794,GRANT UNION HIGH SCHOOL,Grant Union High,fuzzy_name_county,1.00
050743,57726785730098,DAVIS SCHOOL INDEPENDENT STUDY,Davis School for Independent Study,fuzzy_name_county,1.00
050744,30665483030368,ORANGE COAST MIDDLE COLLEGE HS,Coast High,fuzzy_name_county,0.94
050745,50710685031521,DENAIR HIGH SCHOOL,Denair High,fuzzy_name_county,1.00
050748,19734601932862,DIAMOND BAR HIGH SCHOOL,Diamond Bar High,gardiner_seed,1.00
050750,54755315431184,DINUBA HIGH SCHOOL,Dinuba High,fuzzy_name_county,1.00
050755,48705324832259,DIXON HIGH SCHOOL,Dixon High,fuzzy_name_county,1.00
050756,30665973030186,MONTE VISTA INDEPENDENT STUDY,Monte Vista High,fuzzy_name_county,1.00
050765,24753172431203,DOS PALOS HIGH SCHOOL,Dos Palos High,fuzzy_name_county,1.00
050770,19644511932441,DOWNEY HIGH SCHOOL,Downey High,gardiner_seed,1.00
050771,19644511939164,WARREN HIGH SCHOOL,Warren High,gardiner_seed,1.00
050776,30664313030616,OXFORD ACADEMY,Oxford Academy,gardiner_seed,1.00
050783,19644691932482,DUARTE HIGH SCHOOL,Duarte High,fuzzy_name_county,1.00
050784,01750930132704,DUBLIN HIGH SCHOOL,Dublin High,gardiner_seed,1.00
050785,47702504732707,DUNSMUIR HIGH SCHOOL,Dunsmuir High,fuzzy_name_county,1.00
050790,04614320433201,DURHAM HIGH SCHOOL,Durham High,fuzzy_name_county,1.00
050795,51713735132758,EAST NICOLAUS HIGH SCHOOL,East Nicolaus High,fuzzy_name_county,1.00
050800,15737420165100,DESERT HIGH SCHOOL,High Desert,fuzzy_name_county,1.00
050804,37681303730066,VALHALLA HIGH SCHOOL,Valhalla High,gardiner_seed,1.00
050805,37681303731692,EL CAJON VALLEY HIGH SCHOOL,El Cajon Valley High,gardiner_seed,1.00
050806,37681303732336,GRANITE HILLS HIGH SCHOOL,Granite Hills High,gardiner_seed,1.00
050810,13631151333004,CENTRAL UNION HIGH SCHOOL,Central Union High,gardiner_seed,1.00
050815,07617960732941,EL CERRITO HIGH SCHOOL,El Cerrito High,gardiner_seed,1.00
050816,13631151330133,SOUTHWEST HIGH SCHOOL,Southwest High,gardiner_seed,1.00
050818,09618530930081,OAK RIDGE HIGH SCHOOL,Oak Ridge High,gardiner_seed,1.00
050819,09618530930164,UNION MINE HIGH SCHOOL,Union Mine High,fuzzy_name_county,1.00
050824,34673143430873,FRANKLIN HIGH SCHOOL,Franklin High,gardiner_seed,1.00
050825,34673143432572,ELK GROVE HIGH SCHOOL,Elk Grove High,fuzzy_name_county,1.00
050828,37681303731536,GROSSMONT MIDDLE COLLEGE HS,Grossmont Middle College High,fuzzy_name_county,1.00
050829,34673143430592,LAGUNA CREEK HIGH SCHOOL,Laguna Creek High,fuzzy_name_county,1.00
050830,19645191930320,ARROYO HIGH SCHOOL,Arroyo High,gardiner_seed,1.00
050835,19645191932664,EL MONTE HIGH SCHOOL,El Monte High,gardiner_seed,1.00
050837,19645191932680,MOUNTAIN VIEW HIGH SCHOOL,Mountain View High,gardiner_seed,1.00
050841,15634120100529,CESAR E CHAVEZ HIGH SCHOOL,Cesar E. Chavez High,gardiner_seed,1.00
050845,19645351932763,EL SEGUNDO HIGH SCHOOL,El Segundo High,gardiner_seed,1.00
050855,33751763332350,ELSINORE HIGH SCHOOL,Elsinore High,fuzzy_name_county,1.00
050858,37683463731007,LA COSTA CANYON HIGH SCHOOL,La Costa Canyon High,gardiner_seed,1.00
050860,01611680132746,EMERY SECONDARY SCHOOL,Emery Secondary,fuzzy_name_county,1.00
050865,37683463737418,SAN DIEGUITO ACADEMY,San Dieguito High Academy,gardiner_seed,1.00
050870,39685023932308,ESCALON HIGH SCHOOL,Escalon High,fuzzy_name_county,1.00
050871,37681063731023,ESCONDIDO CHARTER HIGH SCHOOL,Escondido Charter High,fuzzy_name_county,1.00
050873,37681063735313,ORANGE GLEN HIGH SCHOOL,Orange Glen High,gardiner_seed,1.00
050880,37681063732062,ESCONDIDO HIGH SCHOOL,Escondido High,gardiner_seed,1.00
050883,37737913737632,SAN MARCOS HIGH SCHOOL,San Marcos High,gardiner_seed,1.00
050884,37681063730058,SAN PASQUAL HIGH SCHOOL,San Pasqual High,gardiner_seed,1.00
050885,57726865732904,ESPARTO HIGH SCHOOL,Esparto High,fuzzy_name_county,1.00
050888,36676523630373,ETIWANDA HIGH SCHOOL,Etiwanda High,gardiner_seed,1.00
050890,47764554733309,ETNA UNION HIGH SCHOOL,Etna Union High,fuzzy_name_county,1.00
050893,37683460106328,CANYON CREST ACADEMY,Canyon Crest Academy,gardiner_seed,1.00
050897,36677100108191,SUMMIT HIGH SCHOOL,Summit High,gardiner_seed,1.00
050899,19764970115725,LIFELINE EDUCATION CHARTER SCH,Lifeline Education Charter,fuzzy_name_county,0.94
050900,12755151232206,EUREKA HIGH SCHOOL,Eureka Senior High,fuzzy_name_county,1.00
050902,34673140105916,MONTEREY TRAIL HIGH SCHOOL,Monterey Trail High,gardiner_seed,1.00
050905,54768365431598,EXETER UNION HIGH SCHOOL,Exeter Union High,fuzzy_name_county,1.00
050910,48705404830451,ARMIJO HIGH SCHOOL,Armijo High,fuzzy_name_county,1.00
050911,48705404833000,FAIRFIELD HIGH SCHOOL,Fairfield High,fuzzy_name_county,1.00
050912,34674473430493,BELLA VISTA HIGH SCHOOL,Bella Vista High,fuzzy_name_county,1.00
050913,19647250135525,RICHARD D BROWNING HIGH SCHOOL,Richard D. Browning High,fuzzy_name_county,1.00
050915,34674473432051,DEL CAMPO HIGH SCHOOL,Del Campo High,fuzzy_name_county,1.00
050919,48705404830170,ANGELO RODRIGUEZ HIGH SCHOOL,Angelo Rodriguez High,gardiner_seed,1.00
050924,54753255430210,FARMERSVILLE HIGH SCHOOL,Farmersville High,fuzzy_name_county,1.00
050925,37681223732179,FALLBROOK UNION HIGH SCHOOL,Fallbrook High,fuzzy_name_county,0.94
050926,45699894533600,FALL RIVER JUNIOR-SENIOR HS,Fall River Junior-Senior High,fuzzy_name_county,1.00
050927,44698074436754,SAN LORENZO VALLEY HIGH SCHOOL,San Lorenzo Valley High,fuzzy_name_county,1.00
