campus,ceeb,cds14,school_name,city,county,applicants,admits,admit_rate,ela_pct_met,math_pct_met,avg_pct_met,upp_pct,lcff_plus,enroll_9_12,ag_cohort_2425,ag_met_2425,admits_per_eligible,match_method,match_score
Davis,053229,07618040730051,CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,950,232,24.421,72.74,56.8,64.77,10.26,N,2894,720,451,0.5144,gardiner_seed,1.00
Davis,050130,19642611930288,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,915,357,39.016,69.26,61.68,65.47,30.96,N,2939,796,514,0.6946,gardiner_seed,1.00
Davis,050270,41690624130993,CARLMONT HIGH SCHOOL,Belmont,San Mateo,903,238,26.357,87.92,73.66,80.79,12.2,N,2360,589,449,0.5301,gardiner_seed,1.00
Davis,052347,43696414332904,HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara,857,212,24.737,83.57,78.86,81.21,14.73,N,1643,433,385,0.5506,gardiner_seed,1.00
Davis,052350,43696414335782,PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara,829,213,25.694,74.32,71.86,73.09,14.75,N,1891,466,430,0.4953,gardiner_seed,1.00
Davis,051510,43696094334116,LOS ALTOS HIGH SCHOOL,Los Altos,Santa Clara,812,202,24.877,79.74,68.44,74.09,20.92,N,2170,544,440,0.4591,gardiner_seed,1.00
Davis,052497,01751010130096,FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,810,199,24.568,83.5,68.24,75.87,9.77,N,2169,513,408,0.4877,gardiner_seed,1.00
Davis,051978,43733874334470,MILPITAS HIGH SCHOOL,Milpitas,Santa Clara,803,226,28.144,76.29,56.72,66.5,46.86,N,2926,686,385,0.587,gardiner_seed,1.00
Davis,054351,37682960118935,DEL NORTE HIGH SCHOOL,San Diego,San Diego,780,191,24.487,84.38,76.0,80.19,10.48,N,2557,639,555,0.3441,gardiner_seed,1.00
Davis,050748,19734601932862,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,779,310,39.795,77.86,67.7,72.78,27.82,N,2563,670,439,0.7062,gardiner_seed,1.00
Davis,052075,43696094334728,MOUNTAIN VIEW HIGH SCHOOL,Mountain View,Santa Clara,775,191,24.645,82.48,69.07,75.78,15.23,N,2187,584,461,0.4143,gardiner_seed,1.00
Davis,051283,30736503030657,NORTHWOOD HIGH SCHOOL,Irvine,Orange,753,259,34.396,75.9,69.23,72.56,23.22,N,2244,617,391,0.6624,gardiner_seed,1.00
Davis,050500,01611500132225,CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,744,199,26.747,68.83,50.22,59.53,41.2,N,2874,668,447,0.4452,gardiner_seed,1.00
Davis,052950,38684783839081,GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco,721,268,37.171,74.52,56.05,65.28,53.92,N,2068,519,345,0.7768,gardiner_seed,1.00
Davis,052683,19648651995588,PALOS VERDES PENINSULA HS,Rolling Hills Estat,Los Angeles,720,236,32.778,87.75,74.87,81.31,14.65,N,2075,572,492,0.4797,gardiner_seed,1.00
Davis,050730,57726785732201,DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,714,289,40.476,79.32,65.55,72.44,31.85,N,1755,554,437,0.6613,gardiner_seed,1.00
Davis,051088,19647331933746,GRANADA HILLS CHARTER HIGH SCH,Granada Hills,Los Angeles,702,283,40.313,76.82,48.12,62.47,49.28,N,4614,1144,916,0.309,gardiner_seed,1.00
Davis,050727,07618040734368,MONTE VISTA HIGH SCHOOL,Danville,Contra Costa,701,191,27.247,85.84,64.08,74.96,6.71,N,2042,519,350,0.5457,gardiner_seed,1.00
Davis,051009,30665143037496,TROY HIGH SCHOOL,Fullerton,Orange,699,271,38.77,86.29,75.81,81.05,40.73,N,2504,660,493,0.5497,gardiner_seed,1.00
Davis,050266,30736500133405,PORTOLA HIGH SCHOOL,Irvine,Orange,698,245,35.1,79.37,66.48,72.92,23.13,N,2693,628,459,0.5338,gardiner_seed,1.00
Davis,051984,30736503035102,UNIVERSITY HIGH SCHOOL,Irvine,Orange,687,218,31.732,69.56,67.69,68.62,27.26,N,2307,581,391,0.5575,gardiner_seed,1.00
Davis,054813,39767600128967,MOUNTAIN HOUSE HIGH SCHOOL,Mountain House,San Joaquin,682,208,30.499,77.77,62.91,70.34,13.14,N,2428,582,402,0.5174,gardiner_seed,1.00
Davis,050466,37683463730033,TORREY PINES HIGH SCHOOL,San Diego,San Diego,655,202,30.84,80.51,58.92,69.72,20.78,N,2536,643,492,0.4106,gardiner_seed,1.00
Davis,052910,38684783833241,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,653,280,42.879,61.97,40.81,51.39,58.87,N,2074,505,304,0.9211,gardiner_seed,1.00
Davis,052327,19647331995836,PALISADES CHARTER HIGH SCHOOL,Pacific Palisades,Los Angeles,637,248,38.932,69.71,38.34,54.02,22.23,N,2920,755,716,0.3464,gardiner_seed,1.00
Davis,052986,37682963731528,WESTVIEW HIGH SCHOOL,San Diego,San Diego,633,183,28.91,88.14,71.49,79.81,12.95,N,2116,537,442,0.414,gardiner_seed,1.00
Davis,051267,30736430102871,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,629,201,31.955,82.54,60.01,71.27,46.0,N,2776,674,479,0.4196,gardiner_seed,1.00
Davis,053091,43696664333522,LELAND HIGH SCHOOL,San Jose,Santa Clara,613,153,24.959,85.16,75.35,80.26,13.26,N,1471,387,283,0.5406,gardiner_seed,1.00
Davis,053343,43695344337762,SARATOGA HIGH SCHOOL,Saratoga,Santa Clara,611,154,25.205,86.74,84.08,85.41,5.68,N,1161,303,260,0.5923,gardiner_seed,1.00
Davis,053163,41690474130217,ARAGON HIGH SCHOOL,San Mateo,San Mateo,604,169,27.98,80.98,59.13,70.05,18.64,N,1658,445,353,0.4788,gardiner_seed,1.00
Davis,053320,19649801938000,SANTA MONICA HIGH SCHOOL,Santa Monica,Los Angeles,590,242,41.017,83.38,54.75,69.07,36.59,N,2588,704,450,0.5378,gardiner_seed,1.00
Davis,050824,34673143430873,FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,589,208,35.314,57.65,46.15,51.9,41.21,N,2650,665,482,0.4315,gardiner_seed,1.00
Davis,051855,43695344334371,LOS GATOS HIGH SCHOOL,Los Gatos,Santa Clara,570,146,25.614,80.22,63.13,71.68,7.89,N,1914,520,424,0.3443,gardiner_seed,1.00
Davis,052945,38684783831765,GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco,568,225,39.613,64.34,46.63,55.48,70.74,N,1750,424,247,0.9109,gardiner_seed,1.00
Davis,050969,01612420134668,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,567,163,28.748,62.3,33.89,48.09,56.91,N,3096,780,389,0.419,gardiner_seed,1.00
Davis,050005,01611190130229,ALAMEDA HIGH SCHOOL,Alameda,Alameda,562,212,37.722,79.12,53.61,66.37,32.66,N,1868,475,346,0.6127,gardiner_seed,1.00
Davis,050940,34673303433216,FOLSOM HIGH SCHOOL,Folsom,Sacramento,527,136,25.806,78.4,52.24,65.32,22.92,N,2901,699,474,0.2869,gardiner_seed,1.00
Davis,051895,19753331935808,MIRA COSTA HIGH SCHOOL,Manhattan Beach,Los Angeles,507,184,36.292,74.93,58.22,66.57,7.76,N,2473,634,528,0.3485,gardiner_seed,1.00
Davis,053460,43694684332474,FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,504,106,21.032,63.8,43.78,53.79,34.81,N,2060,541,322,0.3292,gardiner_seed,1.00
Davis,053092,43694014330239,LEIGH HIGH SCHOOL,San Jose,Santa Clara,498,123,24.699,75.8,66.59,71.19,19.59,N,1884,467,360,0.3417,gardiner_seed,1.00
Davis,050170,41690624133716,MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo,496,143,28.831,69.49,51.22,60.36,37.16,N,2158,537,319,0.4483,gardiner_seed,1.00
Davis,050972,01611760138693,WASHINGTON HIGH SCHOOL,Fremont,Alameda,493,130,26.369,72.72,53.98,63.35,41.75,N,1957,484,278,0.4676,gardiner_seed,1.00
Davis,051274,30736503030285,WOODBRIDGE HIGH SCHOOL,Irvine,Orange,492,179,36.382,76.63,58.26,67.44,29.44,N,2232,550,373,0.4799,gardiner_seed,1.00
Davis,050865,37683463737418,SAN DIEGUITO ACADEMY,Encinitas,San Diego,488,162,33.197,73.29,51.64,62.46,25.94,N,1843,550,440,0.3682,gardiner_seed,1.00
Davis,052834,37683383730884,SCRIPPS RANCH HIGH,San Diego,San Diego,488,130,26.639,83.02,68.72,75.87,20.42,N,1890,454,408,0.3186,gardiner_seed,1.00
Davis,052240,01612590136051,OAKLAND TECHNICAL HIGH SCHOOL,Oakland,Alameda,485,156,32.165,54.13,32.64,43.39,70.64,N,1812,449,337,0.4629,gardiner_seed,1.00
Davis,051976,43694274335907,PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara,482,120,24.896,76.54,54.9,65.72,41.5,N,1918,505,321,0.3738,gardiner_seed,1.00
Davis,053676,19734601939149,WALNUT HIGH SCHOOL,Walnut,Los Angeles,476,174,36.555,78.17,62.3,70.24,29.33,N,2148,560,390,0.4462,gardiner_seed,1.00
Davis,054204,34673140116897,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,472,202,42.797,68.65,42.65,55.65,40.78,N,2109,539,345,0.5855,gardiner_seed,1.00
Davis,051313,19645681932144,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,465,166,35.699,80.29,54.59,67.44,40.24,N,2624,624,439,0.3781,gardiner_seed,1.00
Davis,051008,30665143037348,SUNNY HILLS HIGH SCHOOL,Fullerton,Orange,459,193,42.048,79.39,62.57,70.98,50.49,N,2337,613,451,0.4279,gardiner_seed,1.00
Davis,051271,30736503030152,IRVINE HIGH SCHOOL,Irvine,Orange,458,160,34.934,71.71,61.71,66.71,27.34,N,1964,516,351,0.4558,gardiner_seed,1.00
Davis,050410,41690474130472,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,456,147,32.237,85.42,64.11,74.76,15.03,N,1583,371,303,0.4851,gardiner_seed,1.00
Davis,051361,21654822132587,REDWOOD HIGH SCHOOL,Larkspur,Marin,456,130,28.509,74.46,61.31,67.88,9.18,N,1722,415,364,0.3571,gardiner_seed,1.00
Davis,050035,01611270130450,ALBANY HIGH SCHOOL,Albany,Alameda,455,145,31.868,83.7,69.98,76.84,32.89,N,1122,288,222,0.6532,gardiner_seed,1.00
Davis,053953,34673140108753,PLEASANT GROVE HIGH SCHOOL,Elk Grove,Sacramento,452,155,34.292,70.12,58.89,64.51,34.74,N,2536,598,357,0.4342,gardiner_seed,1.00
Davis,052058,07616300731125,CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,447,139,31.096,86.38,69.95,78.16,5.97,N,1340,321,258,0.5388,gardiner_seed,1.00
Davis,053100,43694274337903,SILVER CREEK HIGH SCHOOL,San Jose,Santa Clara,445,138,31.011,66.49,43.83,55.16,56.62,N,2139,538,334,0.4132,gardiner_seed,1.00
Davis,053680,07616300733725,LAS LOMAS HIGH SCHOOL,Walnut Creek,Contra Costa,443,145,32.731,73.88,54.63,64.25,19.02,N,1577,428,332,0.4367,gardiner_seed,1.00
Davis,050666,07617540730044,NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa,424,134,31.604,76.99,53.83,65.41,22.9,N,1546,382,251,0.5339,gardiner_seed,1.00
